timestamp, screen
2017.09.05_19.32.13.000, screenOff
2017.09.05_19.33.43.000, screenOn
2017.09.05_19.34.45.000, screenOff
2017.09.05_19.34.59.000, screenOn
2017.09.05_19.43.03.000, screenOff
2017.09.05_19.45.13.000, screenOff
2017.09.05_19.49.58.000, screenOn
2017.09.05_19.50.38.000, screenOff
2017.09.05_19.50.49.000, screenOn
2017.09.05_19.51.03.000, screenOff
2017.09.05_20.01.07.000, screenOff
2017.09.05_20.01.17.000, screenOn
2017.09.05_20.01.50.000, screenOff
2017.09.05_20.07.19.000, screenOff
2017.09.05_20.10.12.000, screenOn
2017.09.05_20.10.47.000, screenOff
2017.09.05_20.13.01.000, screenOn
2017.09.05_20.13.24.000, screenOff
2017.09.05_20.13.45.000, screenOn
2017.09.05_20.15.43.000, screenOff
2017.09.05_20.15.46.000, screenOff
2017.09.05_20.19.04.000, screenOn
2017.09.05_20.19.26.000, screenOff
2017.09.05_20.21.20.000, screenOn
2017.09.05_20.21.38.000, screenOff
2017.09.05_20.23.09.000, screenOn
2017.09.05_20.23.51.000, screenOff
2017.09.05_20.26.40.000, screenOn
2017.09.05_20.27.19.000, screenOff
2017.09.05_20.27.25.000, screenOn
2017.09.05_20.28.42.000, screenOff
2017.09.05_20.31.54.000, screenOff
2017.09.05_20.32.19.000, screenOn
2017.09.05_20.33.25.000, screenOff
2017.09.05_20.34.37.000, screenOn
2017.09.05_20.34.55.000, screenOff
2017.09.05_20.40.10.000, screenOn
2017.09.05_20.40.57.000, screenOff
2017.09.05_20.41.32.000, screenOn
2017.09.05_20.41.46.000, screenOff
2017.09.05_20.42.12.000, screenOn
2017.09.05_20.42.22.000, screenOff
2017.09.05_20.44.02.000, screenOff
2017.09.05_20.44.22.000, screenOn
2017.09.05_20.45.36.000, screenOff
2017.09.05_20.47.11.000, screenOn
2017.09.05_20.48.02.000, screenOff
2017.09.05_20.48.26.000, screenOff
2017.09.05_20.50.50.000, screenOn
2017.09.05_20.51.09.000, screenOff
2017.09.05_20.52.41.000, screenOff
2017.09.05_20.53.23.000, screenOff
2017.09.05_20.58.45.000, screenOn
2017.09.05_20.59.05.000, screenOff
2017.09.05_20.59.28.000, screenOn
2017.09.05_20.59.49.000, screenOff
2017.09.05_21.00.32.000, screenOff
2017.09.05_21.02.12.000, screenOff
2017.09.05_21.02.30.000, screenOn
2017.09.05_21.05.21.000, screenOff
2017.09.05_21.05.26.000, screenOn
2017.09.05_21.13.09.000, screenOff
2017.09.05_21.16.54.000, screenOn
2017.09.05_21.18.16.000, screenOff
2017.09.05_21.20.49.000, screenOn
2017.09.05_21.21.54.000, screenOff
2017.09.05_21.22.13.000, screenOn
2017.09.05_21.22.42.000, screenOff
2017.09.05_21.23.13.000, screenOn
2017.09.05_21.24.01.000, screenOff
2017.09.05_21.24.46.000, screenOn
2017.09.05_21.25.38.000, screenOff
2017.09.05_21.28.11.000, screenOff
2017.09.05_21.29.57.000, screenOff
2017.09.05_21.30.18.000, screenOn
2017.09.05_21.31.09.000, screenOff
2017.09.05_21.36.00.000, screenOn
2017.09.05_21.36.54.000, screenOff
2017.09.05_21.39.13.000, screenOff
2017.09.05_21.39.45.000, screenOn
2017.09.05_21.42.45.000, screenOff
2017.09.05_21.44.34.000, screenOff
2017.09.05_21.44.56.000, screenOn
2017.09.05_21.49.53.000, screenOff
2017.09.05_21.50.28.000, screenOn
2017.09.05_21.51.30.000, screenOff
2017.09.05_21.52.12.000, screenOn
2017.09.05_21.52.28.000, screenOff
2017.09.05_21.57.55.000, screenOn
2017.09.05_21.58.05.000, screenOff
2017.09.05_21.59.48.000, screenOn
2017.09.05_21.59.58.000, screenOff
2017.09.05_22.00.26.000, screenOn
2017.09.05_22.00.42.000, screenOff
2017.09.05_22.01.57.000, screenOn
2017.09.05_22.02.11.000, screenOff
2017.09.05_22.04.25.000, screenOn
2017.09.05_22.04.39.000, screenOff
2017.09.05_22.05.44.000, screenOff
2017.09.05_22.07.12.000, screenOn
2017.09.05_22.07.43.000, screenOff
2017.09.05_22.10.27.000, screenOn
2017.09.05_22.11.43.000, screenOff
2017.09.05_22.13.02.000, screenOn
2017.09.05_22.13.07.000, screenOff
2017.09.05_22.17.38.000, screenOn
2017.09.05_22.20.07.000, screenOff
2017.09.05_22.20.39.000, screenOn
2017.09.05_22.20.46.000, screenOff
2017.09.05_22.21.49.000, screenOn
2017.09.05_22.22.41.000, screenOff
2017.09.05_22.22.59.000, screenOn
2017.09.05_22.23.12.000, screenOff
2017.09.05_22.24.53.000, screenOn
2017.09.05_22.24.58.000, screenOff
2017.09.05_22.26.18.000, screenOn
2017.09.05_22.26.20.000, screenOff
2017.09.05_22.28.55.000, screenOn
2017.09.05_22.28.55.000, screenOff
2017.09.05_22.30.17.000, screenOn
2017.09.05_22.30.44.000, screenOff
2017.09.05_22.32.58.000, screenOn
2017.09.05_22.33.00.000, screenOff
2017.09.05_22.33.35.000, screenOn
2017.09.05_22.33.46.000, screenOff
2017.09.05_22.33.48.000, screenOn
2017.09.05_22.33.52.000, screenOff
2017.09.05_22.35.27.000, screenOff
2017.09.05_22.35.29.000, screenOn
2017.09.05_22.35.31.000, screenOff
2017.09.05_22.36.02.000, screenOn
2017.09.05_22.36.40.000, screenOff
2017.09.05_22.37.33.000, screenOn
2017.09.05_22.37.48.000, screenOff
2017.09.05_22.37.54.000, screenOn
2017.09.05_22.40.06.000, screenOff
2017.09.05_22.41.03.000, screenOn
2017.09.05_22.41.50.000, screenOff
2017.09.05_22.43.29.000, screenOn
2017.09.05_22.43.53.000, screenOff
2017.09.05_22.45.07.000, screenOn
2017.09.05_22.45.42.000, screenOff
2017.09.05_22.45.59.000, screenOn
2017.09.05_22.46.07.000, screenOff
2017.09.05_22.47.21.000, screenOn
2017.09.05_22.47.23.000, screenOff
2017.09.05_22.47.58.000, screenOn
2017.09.05_22.48.17.000, screenOff
2017.09.05_22.48.51.000, screenOn
2017.09.05_22.48.54.000, screenOff
2017.09.05_22.49.22.000, screenOn
2017.09.05_22.49.27.000, screenOff
2017.09.05_22.49.44.000, screenOn
2017.09.05_22.49.49.000, screenOff
2017.09.05_22.50.38.000, screenOn
2017.09.05_22.50.42.000, screenOff
2017.09.05_22.52.12.000, screenOff
2017.09.05_22.52.12.000, screenOn
2017.09.05_22.52.15.000, screenOff
2017.09.05_22.53.02.000, screenOn
2017.09.05_22.53.10.000, screenOff
2017.09.05_22.53.15.000, screenOn
2017.09.05_22.53.24.000, screenOff
2017.09.05_22.55.51.000, screenOn
2017.09.05_22.56.08.000, screenOff
2017.09.05_22.56.43.000, screenOn
2017.09.05_22.56.50.000, screenOff
2017.09.05_22.57.27.000, screenOn
2017.09.05_22.57.29.000, screenOff
2017.09.05_22.57.52.000, screenOn
2017.09.05_22.58.44.000, screenOff
2017.09.05_23.00.12.000, screenOn
2017.09.05_23.00.38.000, screenOff
2017.09.05_23.02.12.000, screenOn
2017.09.05_23.02.42.000, screenOff
2017.09.05_23.03.04.000, screenOn
2017.09.05_23.03.21.000, screenOff
2017.09.05_23.03.53.000, screenOn
2017.09.05_23.04.58.000, screenOff
2017.09.05_23.05.15.000, screenOff
2017.09.05_23.05.39.000, screenOn
2017.09.05_23.05.49.000, screenOff
2017.09.05_23.10.03.000, screenOff
2017.09.05_23.16.51.000, screenOff
2017.09.05_23.18.56.000, screenOn
2017.09.05_23.19.15.000, screenOff
2017.09.05_23.19.26.000, screenOff
2017.09.05_23.24.55.000, screenOn
2017.09.05_23.25.07.000, screenOff
2017.09.05_23.25.08.000, screenOn
2017.09.06_02.27.20.000, screenOn
2017.09.06_02.52.35.000, screenOff
2017.09.06_02.55.12.000, screenOn
2017.09.06_03.07.04.000, screenOff
2017.09.06_03.12.57.000, screenOn
2017.09.06_03.37.27.000, screenOff
2017.09.06_08.00.03.000, screenOn
2017.09.06_08.00.32.000, screenOff
2017.09.06_08.05.02.000, screenOn
2017.09.06_08.05.17.000, screenOff
2017.09.06_08.10.06.000, screenOn
2017.09.06_08.10.20.000, screenOff
2017.09.06_08.15.01.000, screenOn
2017.09.06_08.15.24.000, screenOff
2017.09.06_08.25.36.000, screenOn
2017.09.06_08.25.38.000, screenOff
2017.09.06_08.33.29.000, screenOn
2017.09.06_08.33.30.000, screenOff
2017.09.06_08.33.30.000, screenOn
2017.09.06_08.33.43.000, screenOff
2017.09.06_08.44.02.000, screenOn
2017.09.06_08.47.09.000, screenOff
2017.09.06_08.48.11.000, screenOff
2017.09.06_08.52.55.000, screenOn
2017.09.06_08.52.58.000, screenOff
2017.09.06_08.59.40.000, screenOn
2017.09.06_08.59.45.000, screenOff
2017.09.06_09.01.09.000, screenOn
2017.09.06_09.05.05.000, screenOff
2017.09.06_09.06.19.000, screenOn
2017.09.06_09.20.12.000, screenOff
2017.09.06_09.22.02.000, screenOn
2017.09.06_09.38.18.000, screenOff
2017.09.06_09.55.48.000, screenOff
2017.09.06_09.55.56.000, screenOff
2017.09.06_09.55.57.000, screenOn
2017.09.06_10.00.51.000, screenOff
2017.09.06_10.01.54.000, screenOn
2017.09.06_10.02.04.000, screenOff
2017.09.06_10.04.21.000, screenOff
2017.09.06_10.06.26.000, screenOn
2017.09.06_10.06.36.000, screenOff
2017.09.06_10.13.28.000, screenOn
2017.09.06_10.14.44.000, screenOff
2017.09.06_10.17.40.000, screenOff
2017.09.06_10.18.59.000, screenOn
2017.09.06_10.19.00.000, screenOff
2017.09.06_10.22.16.000, screenOn
2017.09.06_10.22.57.000, screenOff
2017.09.06_10.28.31.000, screenOn
2017.09.06_10.28.47.000, screenOff
2017.09.06_10.30.23.000, screenOn
2017.09.06_10.59.01.000, screenOff
2017.09.06_10.59.27.000, screenOn
2017.09.06_10.59.38.000, screenOff
2017.09.06_11.08.04.000, screenOff
2017.09.06_11.10.18.000, screenOn
2017.09.06_11.10.32.000, screenOff
2017.09.06_11.10.32.000, screenOn
2017.09.06_11.10.34.000, screenOff
2017.09.06_11.40.03.000, screenOn
2017.09.06_11.40.56.000, screenOff
2017.09.06_11.41.03.000, screenOn
2017.09.06_11.43.10.000, screenOff
2017.09.06_11.44.03.000, screenOn
2017.09.06_11.47.04.000, screenOff
2017.09.06_12.18.02.000, screenOn
2017.09.06_12.39.56.000, screenOff
2017.09.06_12.39.57.000, screenOn
2017.09.06_12.40.06.000, screenOff
2017.09.06_12.41.41.000, screenOn
2017.09.06_12.41.56.000, screenOff
2017.09.06_12.43.08.000, screenOn
2017.09.06_12.44.10.000, screenOff
2017.09.06_13.00.13.000, screenOn
2017.09.06_13.02.16.000, screenOff
2017.09.06_13.03.10.000, screenOn
2017.09.06_13.03.28.000, screenOff
2017.09.06_13.30.09.000, screenOff
2017.09.06_13.58.41.000, screenOn
2017.09.06_13.59.19.000, screenOff
2017.09.06_14.04.21.000, screenOff
2017.09.06_14.16.30.000, screenOn
2017.09.06_14.16.40.000, screenOff
2017.09.06_14.27.44.000, screenOn
2017.09.06_14.29.31.000, screenOff
2017.09.06_14.30.33.000, screenOn
2017.09.06_14.30.46.000, screenOff
2017.09.06_14.31.14.000, screenOn
2017.09.06_14.33.51.000, screenOff
2017.09.06_14.34.24.000, screenOn
2017.09.06_14.36.08.000, screenOff
2017.09.06_14.40.06.000, screenOn
2017.09.06_14.40.10.000, screenOff
2017.09.06_14.56.39.000, screenOn
2017.09.06_14.57.14.000, screenOff
2017.09.06_15.19.29.000, screenOn
2017.09.06_15.19.36.000, screenOff
2017.09.06_15.30.30.000, screenOff
2017.09.06_15.31.00.000, screenOn
2017.09.06_15.31.27.000, screenOff
2017.09.06_15.31.46.000, screenOn
2017.09.06_15.32.36.000, screenOff
2017.09.06_15.33.57.000, screenOn
2017.09.06_15.35.32.000, screenOff
2017.09.06_15.35.49.000, screenOn
2017.09.06_15.36.32.000, screenOff
2017.09.06_15.42.19.000, screenOn
2017.09.06_15.42.22.000, screenOff
2017.09.06_15.45.27.000, screenOn
2017.09.06_15.45.39.000, screenOff
2017.09.06_15.46.19.000, screenOn
2017.09.06_15.46.29.000, screenOff
2017.09.06_15.51.44.000, screenOff
2017.09.06_15.52.03.000, screenOn
2017.09.06_15.52.52.000, screenOff
2017.09.06_15.53.03.000, screenOn
2017.09.06_15.53.14.000, screenOff
2017.09.06_15.53.56.000, screenOn
2017.09.06_15.54.55.000, screenOff
2017.09.06_15.55.18.000, screenOn
2017.09.06_15.58.34.000, screenOff
2017.09.06_16.01.48.000, screenOn
2017.09.06_16.02.13.000, screenOff
2017.09.06_16.03.13.000, screenOn
2017.09.06_16.04.19.000, screenOff
2017.09.06_16.05.07.000, screenOn
2017.09.06_16.05.13.000, screenOff
2017.09.06_16.08.37.000, screenOn
2017.09.06_16.15.11.000, screenOff
2017.09.06_16.15.12.000, screenOn
2017.09.06_16.15.25.000, screenOff
2017.09.06_16.15.44.000, screenOn
2017.09.06_16.29.02.000, screenOff
2017.09.06_16.31.04.000, screenOn
2017.09.06_16.31.23.000, screenOff
2017.09.06_16.31.35.000, screenOff
2017.09.06_16.34.44.000, screenOn
2017.09.06_16.34.55.000, screenOff
2017.09.06_17.17.52.000, screenOn
2017.09.06_17.29.54.000, screenOff
2017.09.06_17.30.35.000, screenOff
2017.09.06_17.30.45.000, screenOn
2017.09.06_17.31.24.000, screenOff
2017.09.06_17.31.35.000, screenOn
2017.09.06_17.32.05.000, screenOff
2017.09.06_17.32.27.000, screenOn
2017.09.06_17.33.08.000, screenOff
2017.09.06_17.36.01.000, screenOff
2017.09.06_17.38.05.000, screenOn
2017.09.06_17.39.29.000, screenOff
2017.09.06_17.41.18.000, screenOn
2017.09.06_17.42.10.000, screenOff
2017.09.06_17.43.10.000, screenOn
2017.09.06_17.43.56.000, screenOff
2017.09.06_17.47.25.000, screenOn
2017.09.06_17.47.59.000, screenOff
2017.09.06_17.49.38.000, screenOn
2017.09.06_17.49.53.000, screenOff
2017.09.06_17.51.43.000, screenOn
2017.09.06_17.52.09.000, screenOff
2017.09.06_17.56.28.000, screenOff
2017.09.06_18.15.22.000, screenOn
2017.09.06_18.16.09.000, screenOff
2017.09.06_18.16.53.000, screenOff
2017.09.06_18.18.05.000, screenOn
2017.09.06_18.18.40.000, screenOff
2017.09.06_18.21.23.000, screenOff
2017.09.06_18.23.43.000, screenOn
2017.09.06_18.23.51.000, screenOff
2017.09.06_18.27.24.000, screenOn
2017.09.06_18.27.49.000, screenOff
2017.09.06_18.28.01.000, screenOff
2017.09.06_18.31.38.000, screenOn
2017.09.06_18.31.55.000, screenOff
2017.09.06_18.48.56.000, screenOn
2017.09.06_18.48.59.000, screenOff
2017.09.06_18.51.35.000, screenOn
2017.09.06_18.52.26.000, screenOff
2017.09.06_18.53.11.000, screenOn
2017.09.06_18.53.22.000, screenOff
2017.09.06_18.55.40.000, screenOn
2017.09.06_18.55.54.000, screenOff
2017.09.06_18.59.36.000, screenOn
2017.09.06_18.59.55.000, screenOff
2017.09.06_19.06.49.000, screenOn
2017.09.06_19.08.44.000, screenOff
2017.09.06_19.11.47.000, screenOn
2017.09.06_19.12.34.000, screenOff
2017.09.06_19.13.04.000, screenOn
2017.09.06_19.13.44.000, screenOff
2017.09.06_19.17.26.000, screenOff
2017.09.06_19.17.50.000, screenOn
2017.09.06_19.18.28.000, screenOff
2017.09.06_19.18.52.000, screenOn
2017.09.06_19.20.26.000, screenOff
2017.09.06_19.28.09.000, screenOff
2017.09.06_19.30.45.000, screenOn
2017.09.06_19.31.10.000, screenOff
2017.09.06_19.31.11.000, screenOn
2017.09.06_19.31.43.000, screenOff
2017.09.06_19.32.47.000, screenOn
2017.09.06_19.34.52.000, screenOff
2017.09.06_19.39.30.000, screenOff
2017.09.06_19.48.12.000, screenOn
2017.09.06_19.48.52.000, screenOff
2017.09.06_19.49.51.000, screenOn
2017.09.06_19.50.30.000, screenOff
2017.09.06_19.50.38.000, screenOn
2017.09.06_19.50.51.000, screenOff
2017.09.06_19.51.21.000, screenOn
2017.09.06_19.52.05.000, screenOff
2017.09.06_19.52.48.000, screenOn
2017.09.06_19.52.57.000, screenOff
2017.09.06_19.54.58.000, screenOff
2017.09.06_19.55.57.000, screenOn
2017.09.06_19.57.35.000, screenOff
2017.09.06_19.57.45.000, screenOn
2017.09.06_19.58.01.000, screenOff
2017.09.06_19.58.38.000, screenOn
2017.09.06_20.00.45.000, screenOff
2017.09.06_20.01.15.000, screenOn
2017.09.06_20.01.53.000, screenOff
2017.09.06_20.02.56.000, screenOn
2017.09.06_20.04.12.000, screenOff
2017.09.06_20.05.36.000, screenOff
2017.09.06_20.05.39.000, screenOn
2017.09.06_20.09.35.000, screenOff
2017.09.06_20.10.02.000, screenOn
2017.09.06_20.10.18.000, screenOff
2017.09.06_20.24.27.000, screenOff
2017.09.06_20.34.48.000, screenOn
2017.09.06_20.34.59.000, screenOff
2017.09.06_20.40.35.000, screenOn
2017.09.06_20.40.46.000, screenOff
2017.09.06_20.41.48.000, screenOn
2017.09.06_20.42.34.000, screenOff
2017.09.06_20.42.36.000, screenOn
2017.09.06_20.42.46.000, screenOff
2017.09.06_20.43.13.000, screenOn
2017.09.06_20.43.14.000, screenOff
2017.09.06_20.49.06.000, screenOn
2017.09.06_20.49.13.000, screenOff
2017.09.06_20.53.28.000, screenOff
2017.09.06_21.09.06.000, screenOff
2017.09.06_21.20.03.000, screenOn
2017.09.06_21.20.08.000, screenOff
2017.09.06_21.20.21.000, screenOff
2017.09.06_21.20.26.000, screenOn
2017.09.06_21.20.48.000, screenOff
2017.09.06_21.21.46.000, screenOn
2017.09.06_21.21.56.000, screenOff
2017.09.06_21.22.03.000, screenOn
2017.09.06_21.22.12.000, screenOff
2017.09.06_21.22.13.000, screenOn
2017.09.06_21.22.19.000, screenOff
2017.09.06_21.25.53.000, screenOff
2017.09.06_21.30.46.000, screenOn
2017.09.06_21.31.38.000, screenOff
2017.09.06_21.33.48.000, screenOn
2017.09.06_21.34.08.000, screenOff
2017.09.06_21.35.05.000, screenOn
2017.09.06_21.35.12.000, screenOff
2017.09.06_21.36.52.000, screenOn
2017.09.06_21.36.59.000, screenOff
2017.09.06_21.37.00.000, screenOn
2017.09.06_21.38.31.000, screenOff
2017.09.06_21.43.04.000, screenOn
2017.09.06_21.43.14.000, screenOff
2017.09.06_21.43.20.000, screenOn
2017.09.06_21.43.31.000, screenOff
2017.09.06_21.44.50.000, screenOn
2017.09.06_21.45.08.000, screenOff
2017.09.06_21.46.11.000, screenOn
2017.09.06_21.47.01.000, screenOff
2017.09.06_21.49.07.000, screenOff
2017.09.06_21.49.59.000, screenOff
2017.09.06_21.51.05.000, screenOn
2017.09.06_21.51.23.000, screenOff
2017.09.06_22.02.09.000, screenOn
2017.09.06_22.02.45.000, screenOff
2017.09.06_22.03.50.000, screenOn
2017.09.06_22.04.04.000, screenOff
2017.09.06_22.04.27.000, screenOn
2017.09.06_22.04.38.000, screenOff
2017.09.06_22.05.23.000, screenOff
2017.09.06_22.05.30.000, screenOff
2017.09.06_22.08.18.000, screenOn
2017.09.06_22.08.53.000, screenOff
2017.09.06_22.09.34.000, screenOn
2017.09.06_22.11.07.000, screenOff
2017.09.06_22.12.14.000, screenOn
2017.09.06_22.12.35.000, screenOff
2017.09.06_22.14.26.000, screenOn
2017.09.06_22.14.37.000, screenOff
2017.09.06_22.14.51.000, screenOn
2017.09.06_22.16.16.000, screenOff
2017.09.06_22.16.16.000, screenOn
2017.09.06_22.19.20.000, screenOff
2017.09.06_22.21.40.000, screenOn
2017.09.06_22.22.46.000, screenOff
2017.09.06_22.25.06.000, screenOn
2017.09.06_22.25.36.000, screenOff
2017.09.06_22.25.48.000, screenOn
2017.09.06_22.27.41.000, screenOff
2017.09.06_22.29.25.000, screenOff
2017.09.06_22.30.00.000, screenOn
2017.09.06_22.30.09.000, screenOff
2017.09.06_22.31.10.000, screenOn
2017.09.06_22.32.41.000, screenOff
2017.09.06_22.34.02.000, screenOn
2017.09.06_22.34.39.000, screenOff
2017.09.06_22.38.29.000, screenOn
2017.09.06_22.39.38.000, screenOff
2017.09.06_22.41.36.000, screenOff
2017.09.06_22.44.23.000, screenOn
2017.09.06_22.45.59.000, screenOff
2017.09.06_22.48.32.000, screenOff
2017.09.06_22.49.22.000, screenOn
2017.09.06_22.49.37.000, screenOff
2017.09.06_22.50.14.000, screenOn
2017.09.06_22.50.41.000, screenOff
2017.09.06_22.52.56.000, screenOn
2017.09.06_22.53.36.000, screenOff
2017.09.06_22.54.40.000, screenOn
2017.09.06_22.55.17.000, screenOff
2017.09.06_22.57.40.000, screenOn
2017.09.06_22.58.17.000, screenOff
2017.09.06_22.58.36.000, screenOn
2017.09.06_22.59.52.000, screenOff
2017.09.06_23.02.45.000, screenOff
2017.09.06_23.06.53.000, screenOn
2017.09.06_23.06.59.000, screenOff
2017.09.06_23.16.04.000, screenOn
2017.09.06_23.16.08.000, screenOff
2017.09.06_23.20.28.000, screenOn
2017.09.06_23.20.56.000, screenOff
2017.09.06_23.24.57.000, screenOn
2017.09.06_23.25.50.000, screenOff
2017.09.06_23.25.50.000, screenOn
2017.09.06_23.26.33.000, screenOff
2017.09.06_23.29.04.000, screenOff
2017.09.06_23.29.49.000, screenOn
2017.09.06_23.30.28.000, screenOff
2017.09.06_23.31.34.000, screenOn
2017.09.06_23.31.38.000, screenOff
2017.09.06_23.33.13.000, screenOn
2017.09.07_00.18.14.000, screenOff
2017.09.07_00.21.33.000, screenOn
2017.09.07_00.21.44.000, screenOff
2017.09.07_00.36.15.000, screenOn
2017.09.07_00.58.54.000, screenOff
2017.09.07_01.00.15.000, screenOff
2017.09.07_01.00.27.000, screenOn
2017.09.07_01.01.06.000, screenOff
2017.09.07_01.01.07.000, screenOn
2017.09.07_01.02.13.000, screenOff
2017.09.07_01.03.09.000, screenOff
2017.09.07_01.03.19.000, screenOn
2017.09.07_01.03.21.000, screenOff
2017.09.07_01.04.07.000, screenOff
2017.09.07_01.05.13.000, screenOn
2017.09.07_01.05.52.000, screenOff
2017.09.07_01.14.08.000, screenOn
2017.09.07_01.14.44.000, screenOff
2017.09.07_01.14.55.000, screenOn
2017.09.07_01.15.16.000, screenOff
2017.09.07_01.15.20.000, screenOn
2017.09.07_01.15.26.000, screenOff
2017.09.07_01.17.48.000, screenOn
2017.09.07_01.17.54.000, screenOff
2017.09.07_01.20.08.000, screenOn
2017.09.07_01.20.20.000, screenOff
2017.09.07_01.21.18.000, screenOff
2017.09.07_01.21.55.000, screenOn
2017.09.07_01.22.31.000, screenOff
2017.09.07_01.22.37.000, screenOn
2017.09.07_01.23.18.000, screenOff
2017.09.07_01.24.45.000, screenOff
2017.09.07_01.32.59.000, screenOn
2017.09.07_01.33.04.000, screenOff
2017.09.07_01.51.50.000, screenOn
2017.09.07_01.52.11.000, screenOff
2017.09.07_01.52.12.000, screenOn
2017.09.07_01.52.22.000, screenOff
2017.09.07_02.04.29.000, screenOff
2017.09.07_02.26.57.000, screenOn
2017.09.07_02.27.45.000, screenOff
2017.09.07_02.29.46.000, screenOn
2017.09.07_02.41.49.000, screenOff
2017.09.07_02.50.14.000, screenOff
2017.09.07_02.59.31.000, screenOn
2017.09.07_03.06.58.000, screenOff
2017.09.07_05.27.41.000, screenOn
2017.09.07_05.27.56.000, screenOff
2017.09.07_08.29.42.000, screenOn
2017.09.07_08.29.45.000, screenOff
2017.09.07_09.00.30.000, screenOn
2017.09.07_09.00.41.000, screenOff
2017.09.07_11.21.35.000, screenOn
2017.09.07_11.21.37.000, screenOff
2017.09.07_11.21.53.000, screenOff
2017.09.07_11.21.59.000, screenOn
2017.09.07_11.24.44.000, screenOff
2017.09.07_11.34.16.000, screenOn
2017.09.07_11.34.31.000, screenOff
2017.09.07_11.55.04.000, screenOn
2017.09.07_11.55.09.000, screenOff
2017.09.07_12.00.22.000, screenOff
2017.09.07_12.01.12.000, screenOn
2017.09.07_12.07.00.000, screenOff
2017.09.07_12.32.53.000, screenOn
2017.09.07_12.33.53.000, screenOff
2017.09.07_12.37.15.000, screenOn
2017.09.07_12.37.26.000, screenOff
2017.09.07_12.37.41.000, screenOn
2017.09.07_12.37.52.000, screenOff
2017.09.07_13.00.08.000, screenOn
2017.09.07_13.00.48.000, screenOff
2017.09.07_13.01.48.000, screenOff
2017.09.07_13.02.15.000, screenOn
2017.09.07_13.02.19.000, screenOff
2017.09.07_13.04.34.000, screenOn
2017.09.07_13.04.48.000, screenOff
2017.09.07_13.04.54.000, screenOn
2017.09.07_13.05.05.000, screenOff
2017.09.07_13.08.26.000, screenOn
2017.09.07_13.08.53.000, screenOff
2017.09.07_13.09.53.000, screenOn
2017.09.07_13.11.37.000, screenOff
2017.09.07_13.12.13.000, screenOn
2017.09.07_13.13.04.000, screenOff
2017.09.07_13.15.04.000, screenOn
2017.09.07_13.16.24.000, screenOff
2017.09.07_13.17.54.000, screenOn
2017.09.07_13.30.42.000, screenOff
2017.09.07_13.33.13.000, screenOn
2017.09.07_13.41.21.000, screenOff
